Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. articularis genus;;Untere Extremität;Knie;Art. genus;Kniegelenk;Corpus femoris (ventral);Kniegelenkkapsel (Recessus suprapatellaris);Spannt die Kniegelenkkapsel im Recessus suprapatellaris (verhindert Einklemmen bei Kniestreckung);Kapselspannung;N. femoralis;L3, L4;"Verhindert das Einklemmen des Recessus suprapatellaris bei aktiver Kniestreckung; klinisch kaum isoliert untersuchbar, aber bei rezidivierenden Kniebeschwerden relevant";nein;;3;0;ja;M. articularis genus;articularis-genus
M. biceps femoris – Caput breve;;Untere Extremität;Knie;Art. genus;Kniegelenk;Linea aspera des Femur (mittlerer Teil);Caput fibulae;"Beugt das Knie (Flexion in der Art. genus); dreht den Unterschenkel bei gebeugtem Knie nach außen (Außenrotation)";Knieflexion · Knie-Außenrotation;N. peroneus communis;L5, S1, S2;"Klinisch selten isoliert betrachtet; gehört der ischiokruralen Gruppe an; bei N.-peroneus-communis-Läsion kann die Außenrotationsfähigkeit des Kniegelenks eingeschränkt sein";nein;Ischiocrurale Gruppe;2;1;ja;M. biceps femoris – Caput breve;biceps-femoris-caput-breve
M. biceps femoris – Caput longum;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;"Caput fibulae; Condylus lateralis tibiae";"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Außenrotation des Unterschenkels";Hüftextension · Knieflexion · Knie-Außenrotation;N. tibialis;L5, S1, S2;"Ischiokrurale Zerrungen betreffen besonders die Ursprungsregion am Tuber ischiadicum; das Hamstring-Syndrom bezeichnet chronische Beschwerden durch narbige Veränderungen der Ischiokruralen";nein;Ischiocrurale Gruppe;1;1;ja;M. biceps femoris – Caput longum;biceps-femoris-caput-longum
M. popliteus;;Untere Extremität;Knie;Art. genus;Kniegelenk;Epicondylus lateralis femoris, Hinterseite der Gelenkkapsel, Meniscus lateralis;Tibia, Facies posterior;Leitet die Kniebeugung ein, rotiert den Unterschenkel nach innen und entlastet den Außenmeniskus;Knieflexion · Knie-Innenrotation;N. tibialis;L4, L5, S1;"Gilt als Schlüssel zur Kniebeweglichkeit: Er ‘entriegelt’ das voll gestreckte Knie durch Innenrotation, bevor eine Flexion möglich ist; Verletzungen können Knieblockaden verursachen";nein;;2;1;ja;M. popliteus;popliteus
M. rectus femoris;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior inferior und Azetabulum (oberer Rand);Tuberositas tibiae (via Patellarsehne);"Beugt die Hüfte im Hüftgelenk (Flexion in der Art. coxae); streckt das Kniegelenk als Teil des Quadriceps (Extension in der Art. genus)";Hüftflexion · Knieextension;N. femoralis;L2, L3, L4;"Risse der Quadricepssehne oder der Patellarsehne entstehen oft durch exzentrische Überlastung; der Rectus femoris ist als einziger Quadricepsanteil zweigelenkig und damit besonders gefährdet";nein;M. quadriceps femoris;1;3;ja;M. rectus femoris;rectus-femoris
M. semimembranosus;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;"Condylus medialis tibiae; Lig. popliteum obliquum";"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Innenrotation des Unterschenkels; zieht den Meniscus lateralis nach dorsal";Hüftextension · Knieflexion · Knie-Innenrotation;N. tibialis;L5, S1, S2;"Wie Semitendinosus ischiokrural gefährdet; die semimembranosus-Sehne kann eine Baker-Zyste unterhalten, wenn sie bei Kniepathologien mechanisch reizt";nein;Ischiocrurale Gruppe;1;3;ja;M. semimembranosus;semimembranosus
M. semitendinosus;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;Tibia, Facies medialis (Pes anserinus);"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Innenrotation des Unterschenkels";Hüftextension · Knieflexion · Knie-Innenrotation;N. tibialis;L5, S1, S2;"Zerrungen entstehen typischerweise beim Sprint oder schnellen Antritt; die Sehne dient als autologes Transplantat (z.B. Semitendinosus-Plastik) bei vorderem Kreuzbandriss";nein;Ischiocrurale Gruppe;1;3;ja;M. semitendinosus;semitendinosus
M. vastus intermedius;;Untere Extremität;Knie;Art. genus;Kniegelenk;Corpus femoris (ventral);Tuberositas tibiae (via Patellarsehne), Retinaculum patellae;"Streckt das Knie (Extension in der Art. genus); bildet gemeinsam mit den anderen Quadricepsanteilen die Hauptkraft für die Knieextension";Knieextension;N. femoralis;L2, L3, L4;"Ruptur der Quadricepssehne kann alle vier Köpfe betreffen; der Vastus intermedius liegt am tiefsten und ist diagnostisch oft erst in der MRT-Bildgebung beurteilbar";nein;M. quadriceps femoris;2;3;ja;M. vastus intermedius;vastus-intermedius
M. vastus lateralis;;Untere Extremität;Knie;Art. genus;Kniegelenk;Trochanter major und Labium laterale der Linea aspera (dorsolateral);Tuberositas tibiae (via Patellarsehne), Retinaculum patellae;"Streckt das Knie (Extension in der Art. genus); beeinflusst die Patellastellung über das laterale Retinaculum";Knieextension;N. femoralis;L2, L3, L4;"Bei Tractus-iliotibialis-Syndrom kann der verdickte Tractus auf den Vastus lateralis Druck ausüben; auch bei vorderem Knieschmerz und Patelladysplasie klinisch relevant";nein;M. quadriceps femoris;1;3;ja;M. vastus lateralis;vastus-lateralis
M. vastus medialis;;Untere Extremität;Knie;Art. genus;Kniegelenk;Labium mediale der Linea aspera (dorsomedial);Tuberositas tibiae (via Patellarsehne), Retinaculum patellae;"Streckt das Knie (Extension in der Art. genus); der schräg verlaufende distale Anteil (VMO) stabilisiert die Patella nach medial";Knieextension;N. femoralis;L2, L3, L4;"VMO-Insuffizienz (vastus medialis oblique) begründet laterale Patellainstabilität und Patellaluxation; gezieltes Training des VMO ist Bestandteil vieler Knierehabilitationsprogramme";nein;M. quadriceps femoris;1;3;ja;M. vastus medialis;vastus-medialis
