Muskel;Region;Subregion;Feld;Urteil;Bei mir;Wikipedia;Delta;Artikel
M. extensor carpi radialis longus;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_longus
M. extensor carpi radialis longus;Obere Extremität;Hand & Finger;Segmente;gleich;C6, C7;C6, C7;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_longus
M. extensor carpi ulnaris;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Epicondylus lateralis humeri, Lig. collaterale radiale, Margo posterior ulnae;Caput humerale: Humerus (Epicondylus lateralis) · Caput ulnare: Ulna (Olecranon);;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_ulnaris
M. extensor carpi ulnaris;Obere Extremität;Hand & Finger;Ansatz;gleich (andere Worte);Basis Os metacarpale V;Basis des Os metacarpale V;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_ulnaris
M. extensor carpi ulnaris;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;Dorsalextension und Ulnarabduktion im Handgelenk;Streckung und Abduktion des Handgelenks;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_ulnaris
M. extensor carpi ulnaris;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_ulnaris
M. extensor carpi ulnaris;Obere Extremität;Hand & Finger;Segmente;abweichend;C6, C7, C8;C7, C8;nur bei mir: C6;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_ulnaris
M. extensor digiti minimi;Obere Extremität;Hand & Finger;Ursprung;abweichend;Epicondylus lateralis humeri;Gemeinsame Sehne der Extensoren und Membrana interossea;;https://de.wikipedia.org/wiki/Musculus_extensor_digiti_minimi
M. extensor digiti minimi;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Dorsalaponeurose des kleinen Fingers;Dorsalseite (Rücken) des kleinen Fingers;;https://de.wikipedia.org/wiki/Musculus_extensor_digiti_minimi
M. extensor digiti minimi;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Streckt den kleinen Finger; unterstützt die Dorsalextension im Handgelenk";Strecker des kleinen Fingers;;https://de.wikipedia.org/wiki/Musculus_extensor_digiti_minimi
M. extensor digiti minimi;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_extensor_digiti_minimi
M. extensor digiti minimi;Obere Extremität;Hand & Finger;Segmente;abweichend;C6, C7, C8;C7, C8;nur bei mir: C6;https://de.wikipedia.org/wiki/Musculus_extensor_digiti_minimi
M. extensor digitorum;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Oberarmknochen (Epicondylus lateralis humeri);;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum
M. extensor digitorum;Obere Extremität;Hand & Finger;Ansatz;abweichend;Dorsalaponeurosen des II.–V. Fingers, Basen der Grundphalangen II–V;Dorsalseite der Glieder der Finger 2–5;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum
M. extensor digitorum;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Dorsalextension im Handgelenk; Streckung der Finger II-V";Strecker der Hand und der Finger;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum
M. extensor digitorum;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum
M. extensor digitorum;Obere Extremität;Hand & Finger;Segmente;abweichend;C6, C7, C8;C7, C8;nur bei mir: C6;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum
M. extensor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Kalkaneus (dorsolateral) und Retinaculum extensorum inferius;Calcaneus;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_brevis
M. extensor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Ansatz;abweichend;Zeh II–IV, Dorsalaponeurosen;Sehnen des Musculus extensor digitorum longus;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_brevis
M. extensor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Streckt die Zehen II–IV in MTP- und IP-Gelenken; unterstützt den langen Zehenstrecker bei der Fußhebung";Streckung der 2. bis 4. Zehe;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_brevis
M. extensor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Innervation;teils gleich;N. peroneus profundus;Nervus fibularis profundus;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_brevis
M. extensor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5, S1;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_brevis
M. extensor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Condylus lateralis tibiae, Facies medialis fibulae und Membrana interossea;Schienbein, Wadenbein, Membrana interossea;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_longus
M. extensor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Ansatz;abweichend;"Dorsalaponeurose der Zehen II–V; Os metatarsale V (dorsal)";Basis der mittleren und vordersten Glieder der 2.–5. Zehe;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_longus
M. extensor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Dorsalextendiert den Fuß und proniert; streckt die Zehen II–V in den MTP- und IP-Gelenken; unterstützt das Anheben der Zehenspitzen beim Gehen";Dorsalextension der Zehen (Zehengrundgelenk und Interphalangialgelenke) und des Fußes (oberes Sprunggelenk), Pronation im unteren Sprunggelenk;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_longus
M. extensor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich (andere Worte);N. peroneus profundus;Nervus peronaeus profundus;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_longus
M. extensor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5, S1;;https://de.wikipedia.org/wiki/Musculus_extensor_digitorum_longus
M. extensor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Dorsalfläche des Kalkaneus (zusammen mit M. extensor digitorum brevis);Dorsalfläche des Fersenbeines;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_brevis
M. extensor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Ansatz;abweichend;Zeh I, proximale Phalanx;Kopf des Grundgliedes der Großzehe;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_brevis
M. extensor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;Streckt die Großzehe im Grundgelenk und unterstützt die lange Strecksehne;Streckung der Großzehe;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_brevis
M. extensor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich;N. peroneus profundus;Nervus peroneus profundus;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_brevis
M. extensor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5, S1;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_brevis
M. extensor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Ursprung;teils gleich;Facies medialis fibulae (Mitte) und Membrana interossea;Facies medialis des Wadenbeins, Membrana interossea cruris;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_longus
M. extensor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Ansatz;abweichend;Zeh I, dorsale distale Phalanx (Basis);Endphalanx der großen Zehe;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_longus
M. extensor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Dorsalextendiert den Fuß; streckt die Großzehe in MTP- und IP-Gelenk; hebt das mediale Gewölbe bei der Fußhebung";Dorsalextension der großen Zehe;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_longus
M. extensor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich (andere Worte);N. peroneus profundus;Nervus peronaeus profundus;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_longus
M. extensor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5, S1;;https://de.wikipedia.org/wiki/Musculus_extensor_hallucis_longus
M. extensor indicis;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Distaler Teil der Facies posterior ulnae und Membrana interossea;Hinterfläche der Ulna, Membrana interossea;;https://de.wikipedia.org/wiki/Musculus_extensor_indicis
M. extensor indicis;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Dorsalaponeurose des Zeigefingers;Glieder des Zeigefingers;;https://de.wikipedia.org/wiki/Musculus_extensor_indicis
M. extensor indicis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Streckt den Zeigefinger; unterstützt die Dorsalextension im Handgelenk";Strecker des Zeigefingers;;https://de.wikipedia.org/wiki/Musculus_extensor_indicis
M. extensor indicis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_extensor_indicis
M. extensor indicis;Obere Extremität;Hand & Finger;Segmente;gleich;C6, C7, C8;C6–C8;;https://de.wikipedia.org/wiki/Musculus_extensor_indicis
M. extensor pollicis brevis;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Facies posterior des Radius und Membrana interossea;Hinterfläche des Radius, Membrana interossea;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_brevis
M. extensor pollicis brevis;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Basis der Grundphalanx des Daumens;Grundglied des Daumens;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_brevis
M. extensor pollicis brevis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Streckt den Daumen vor allem im Grundgelenk; unterstützt die Extension im Sattelgelenk";Daumenstrecker;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_brevis
M. extensor pollicis brevis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_brevis
M. extensor pollicis brevis;Obere Extremität;Hand & Finger;Segmente;gleich;C6, C7, C8;C6–C8;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_brevis
M. extensor pollicis longus;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Facies posterior ulnae und Membrana interossea;Hinterseite der Ulna, Membrana interossea;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_longus
M. extensor pollicis longus;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Basis der Endphalanx des Daumens;Endglied des Daumens;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_longus
M. extensor pollicis longus;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Streckt den Daumen bis ins Endgelenk; unterstützt die Dorsalextension im Handgelenk";Strecker des Daumens;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_longus
M. extensor pollicis longus;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_longus
M. extensor pollicis longus;Obere Extremität;Hand & Finger;Segmente;abweichend;C6, C7, C8;C7, C8;nur bei mir: C6;https://de.wikipedia.org/wiki/Musculus_extensor_pollicis_longus
M. fibularis brevis (M. peroneus brevis);Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Facies lateralis fibulae (distal);Untere, äußere Fläche des Wadenbeins;;https://de.wikipedia.org/wiki/Musculus_fibularis_brevis
M. fibularis brevis (M. peroneus brevis);Untere Extremität;Fuß & Sprunggelenk;Ansatz;teils gleich;Os metatarsale V (Tuberositas);Os metatarsale V (5. Mittelfußknochen);;https://de.wikipedia.org/wiki/Musculus_fibularis_brevis
M. fibularis brevis (M. peroneus brevis);Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Plantarflektiert und proniert den Fuß; wichtig für die seitliche Fußstabilisierung";Plantarflexion und Pronation des Sprunggelenks;;https://de.wikipedia.org/wiki/Musculus_fibularis_brevis
M. fibularis brevis (M. peroneus brevis);Untere Extremität;Fuß & Sprunggelenk;Innervation;teils gleich;N. peroneus superficialis;Nervus fibularis superficialis;;https://de.wikipedia.org/wiki/Musculus_fibularis_brevis
M. fibularis brevis (M. peroneus brevis);Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5, S1;;https://de.wikipedia.org/wiki/Musculus_fibularis_brevis
M. fibularis longus (M. peroneus longus);Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Condylus lateralis tibiae, Caput fibulae und Facies lateralis fibulae (proximal);Kopf und äußere Fläche des Wadenbeins;;https://de.wikipedia.org/wiki/Musculus_fibularis_longus
M. fibularis longus (M. peroneus longus);Untere Extremität;Fuß & Sprunggelenk;Ansatz;teils gleich;Os cuneiforme I und Os metatarsale I (Tuberositas, plantar);Os cuneiforme mediale, Os metatarsale I (1. Mittelfußknochen);;https://de.wikipedia.org/wiki/Musculus_fibularis_longus
M. fibularis longus (M. peroneus longus);Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Plantarflektiert und proniert den Fuß; verspannt das Quergewölbe durch seinen diagonalen Verlauf auf der Fußsohle";Plantarflexion und Pronation des Fußes;;https://de.wikipedia.org/wiki/Musculus_fibularis_longus
M. fibularis longus (M. peroneus longus);Untere Extremität;Fuß & Sprunggelenk;Innervation;teils gleich;N. peroneus superficialis;Nervus fibularis superficialis;;https://de.wikipedia.org/wiki/Musculus_fibularis_longus
M. fibularis longus (M. peroneus longus);Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5, S1;;https://de.wikipedia.org/wiki/Musculus_fibularis_longus
M. flexor carpi radialis;Obere Extremität;Hand & Finger;Ursprung;gleich (andere Worte);Epicondylus medialis humeri;Humerus (Epicondylus medialis humeri);;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_radialis
M. flexor carpi radialis;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Basis Os metacarpale II (manchmal auch III);Basis der 2. und (seltener) 3. Ossa metacarpalia;;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_radialis
M. flexor carpi radialis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;Palmarflexion und Radialabduktion im Handgelenk;Beuger des Handgelenks;;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_radialis
M. flexor carpi radialis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. medianus;Nervus medianus aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_radialis
M. flexor carpi radialis;Obere Extremität;Hand & Finger;Segmente;gleich;C6, C7, C8;C6–C8;;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_radialis
M. flexor carpi ulnaris;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Epicondylus medialis humeri, medialer Olekranon und Margo posterior ulnae;Caput humerale: Humerus (Epicondylus medialis) · Caput ulnare: Hinterfläche der Ulna;;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_ulnaris
M. flexor carpi ulnaris;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Os pisiforme, Hamulus ossis hamati, Basis Os metacarpale V;Os pisiforme, Os hamatum, Os metacarpale V;;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_ulnaris
M. flexor carpi ulnaris;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;Palmarflexion und Ulnarabduktion im Handgelenk;Beugung Handgelenk, Ulnarabduktion;;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_ulnaris
M. flexor carpi ulnaris;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. ulnaris;Nervus ulnaris aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_ulnaris
M. flexor carpi ulnaris;Obere Extremität;Hand & Finger;Segmente;abweichend;C7, C8, Th1;C8, Th1;nur bei mir: C7;https://de.wikipedia.org/wiki/Musculus_flexor_carpi_ulnaris
M. flexor digiti minimi brevis;Obere Extremität;Hand & Finger;Ursprung;gleich (andere Worte);Hamulus ossis hamati und Retinaculum flexorum;Retinaculum flexorum und Os hamatum;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Hand)
M. flexor digiti minimi brevis;Obere Extremität;Hand & Finger;Ansatz;abweichend;Basis der Grundphalanx des V. Fingers, ulnares Sesambein;proximale Phalanx des kleinen Fingers;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Hand)
M. flexor digiti minimi brevis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;Flexion im MCP-Gelenk des kleinen Fingers;beugt das erste Glied des kleinen Fingers;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Hand)
M. flexor digiti minimi brevis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. ulnaris;Nervus ulnaris aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Hand)
M. flexor digiti minimi brevis;Obere Extremität;Hand & Finger;Segmente;gleich;C8, Th1;C8–Th1;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Hand)
M. flexor digiti minimi brevis;Untere Extremität;Fuß & Sprunggelenk;Ursprung;teils gleich;Os metatarsale V (Basis) und Lig. plantare longum;Ligamentum plantare longum, Os metatarsale V, Sehnenscheide des Musculus peronaeus longus;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Fu%C3%9F)
M. flexor digiti minimi brevis;Untere Extremität;Fuß & Sprunggelenk;Ansatz;abweichend;Zeh V, Basis der proximalen Phalanx (plantar);Basis des Grundgliedes der Kleinzehe;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Fu%C3%9F)
M. flexor digiti minimi brevis;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Beugt die Kleinzehe im MTP-Gelenk V; unterstützt die Stabilisierung des lateralen Fußrandes";Flexion und Abduktion Kleinzehe;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Fu%C3%9F)
M. flexor digiti minimi brevis;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich (andere Worte);N. tibialis (N. plantaris lateralis);Nervus plantaris lateralis;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Fu%C3%9F)
M. flexor digiti minimi brevis;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;S2, S3;;https://de.wikipedia.org/wiki/Musculus_flexor_digiti_minimi_brevis_(Fu%C3%9F)
M. flexor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Kalkaneus (Proc. medialis am Tuber) und Aponeurosis plantaris;Plantarfläche (Unterseite) des Fersenbeinhöckers (Tuber calcanei), Plantaraponeurose;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_brevis
M. flexor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Ansatz;abweichend;Zehen II–V, plantare mittlere Phalangen;Basis der Mittelglieder der 2. bis 5. Zehe;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_brevis
M. flexor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Beugt die Zehen II–V in MTP- und proximalen IP-Gelenken; unterstützt das Greifen und Abrollen des Fußes beim Gehen";Beugung der 2. bis 5. Zehe im Mittel- und Grundgelenk, verspannt das Längsgewölbe des Fußes;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_brevis
M. flexor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich (andere Worte);N. tibialis (N. plantaris medialis);Nervus plantaris medialis;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_brevis
M. flexor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5, S1;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_brevis
M. flexor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Facies posterior tibiae (Mitte);Hinterfläche der Tibia;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_longus
M. flexor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Ansatz;teils gleich;Zehen II–V, distale Phalanx (Basis);Basis der Endglieder der 2. – 5. Zehe · Endglieder aller Stützzehen (Tiere);;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_longus
M. flexor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Plantarflektiert den Fuß und supiniert; beugt die Zehen II–V in MTP-, PIP- und DIP-Gelenken; beim Gehen unterstützt er das Abstoßen und das Greifen der Zehenspitzen";Beugung der äußeren vier Zehen, Plantarflexion (Streckung) des Sprunggelenks;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_longus
M. flexor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Innervation;teils gleich;N. tibialis;Nervus tibialis (Ast des Nervus ischiadicus);;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_longus
M. flexor digitorum longus;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5-S2;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_longus
M. flexor digitorum profundus;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Facies anterior und medialis ulnae und Membrana interossea;Vorderfläche der Ulna, Membrana interossea, bei Tieren auch an Radius und Humerus;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_profundus
M. flexor digitorum profundus;Obere Extremität;Hand & Finger;Ansatz;abweichend;Basis der distalen Fingerphalangen II–V;Basis der Endglieder des 2.–5. Fingers;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_profundus
M. flexor digitorum profundus;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Palmarflexion im Handgelenk; Flexion der Finger II-V bis in die Endgelenke";Beugen der Endglieder des 2.–5. Fingers und Beugung des Handgelenks;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_profundus
M. flexor digitorum profundus;Obere Extremität;Hand & Finger;Innervation;gleich (andere Worte);N. medianus (II, III), N. ulnaris (IV, V);Nervus medianus und Nervus ulnaris;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_profundus
M. flexor digitorum profundus;Obere Extremität;Hand & Finger;Segmente;gleich;C7, C8, Th1;C7–Th1;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_profundus
M. flexor digitorum superficialis;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Epicondylus medialis humeri, Facies medialis ulnae, proximaler Margo anterior radii;Caput humeroulnare: Humerus (Epicondylus medialis) und Ulna (Proc. coronoideus ulnae) · Caput radiale: Vorderfläche (Facies anterior) des Radius;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_superficialis
M. flexor digitorum superficialis;Obere Extremität;Hand & Finger;Ansatz;abweichend;Mittelphalangen des II.–V. Fingers;Basis der mittleren Glieder des 2.–5. Fingers;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_superficialis
M. flexor digitorum superficialis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Palmarflexion im Handgelenk; Flexion in MCP- und PIP-Gelenken der Finger II-V";Beugen der ersten beiden Gelenke des 2. – 5. Fingers sowie des Handgelenks;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_superficialis
M. flexor digitorum superficialis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. medianus;Nervus medianus aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_superficialis
M. flexor digitorum superficialis;Obere Extremität;Hand & Finger;Segmente;abweichend;C7, C8, Th1;C7, C8;nur bei mir: Th1;https://de.wikipedia.org/wiki/Musculus_flexor_digitorum_superficialis
M. flexor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Ursprung;teils gleich;Ossa cuneiformia II et III und Os cuboideum;v. a. Os cuneiforme intermedium;;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_brevis
M. flexor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Ansatz;teils gleich;"Mediale und laterale Basis der proximalen Phalanx des I. Zehs; Mediales und laterales Sesambein";Grundglied der großen Zehe (beide Köpfe) und mediales Sesambein (für den medialen Kopf) bzw. laterales Sesambein (für den lateralen Kopf) der Großzehe;;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_brevis
M. flexor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Beugt die Großzehe im MTP-Gelenk; unterstützt Abduktion und Adduktion; hält die Sesambeine in ihrer Gleitrinne unter dem ersten Metatarsalkopf";Beugung (Plantarflexion) der Großzehe;;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_brevis
M. flexor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich (andere Worte);N. tibialis (N. plantaris medialis und lateralis);Äste des Nervus tibialis: N. plantaris medialis (für den medialen Kopf) und N. plantaris lateralis (für den lateralen Kopf);;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_brevis
M. flexor hallucis brevis;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;S1, S2;;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_brevis
M. flexor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Facies posterior fibulae (distal);Hinterfläche in den unteren 2/3 des Wadenbeins, Membrana interossea;;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_longus
M. flexor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Ansatz;abweichend;Zeh I, plantare distale Phalanx (Basis);Endglied der großen Zehe · Tiere: Endglied der Stützzehen;;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_longus
M. flexor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Plantarflektiert den Fuß und supiniert; beugt die Großzehe in MTP- und IP-Gelenk; wichtig beim Abstoßen in der Gangabwicklung";Beuger der Großzehe (lat. Hallux);;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_longus
M. flexor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Innervation;teils gleich;N. tibialis;Nervus tibialis (Ast des Nervus ischiadicus);;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_longus
M. flexor hallucis longus;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;L5–S2;;https://de.wikipedia.org/wiki/Musculus_flexor_hallucis_longus
M. flexor pollicis brevis;Obere Extremität;Hand & Finger;Ursprung;teils gleich;"Caput superficiale: Tuberculum ossis trapezii und Retinaculum flexorum; Caput profundum: Os trapezoideum, Os capitatum, Ligg. metacarpalia palmaria";Caput superficiale: Retinaculum flexorum, Caput profundum: Os trapezium, Os capitatum, Basis des Metacarpale I;;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_brevis
